title|year|running_time|genres|rating|synopsis|directors|actors|trailer_link|trailer_running_time|release_dates|enable_import
Caddyshack|1980|98|Comedy, Sport|7,3|At an exclusive country club, an ambitious young caddy, Danny Noonan, eagerly pursues a caddy scholarship in hopes of attending college and, in turn, avoiding a job at the lumber yard. In order to succeed, he must first win the favour of the elitist Judge Smails, and then the caddy golf tournament which Smails sponsors.|Harold Ramis |Chevy Chase, Rodney Dangerfield, Bill Murray, Ted Knight|https://www.youtube.com/watch?v=x9Nl39uWEYk|154||0
Murder on the Orient Express |1974|128|Crime, Drama, Mystery|7,3|In 1935, when his train is stopped by deep snow, detective Hercule Poirot is called on to solve a murder that occurred in his car the night before.|Sidney Lumet|Albert Finney, Lauren Bacall, Ingrid Bergman, Sean Connery|https://www.youtube.com/watch?v=kjSN6hmg2UY|167||0
Enter the Dragon|1973|102|Action, Crime, Drama|7,7|A martial artist agrees to spy on a reclusive crime lord using his invitation to a tournament there as cover.|Robert Clouse |Bruce Lee, John Saxon, Jim Kelly, Ahna Capri|https://www.youtube.com/watch?v=81jCPIag4KA|124||0
The Poseidon Adventure |1972|117|Action, Adventure, Drama|7,1|When their ocean liner capsizes, a group of passengers struggle to survive and escape.|Ronald Neame|Gene Hackman, Ernest Borgnine, Shelley Winters, Red Buttons|https://www.youtube.com/watch?v=bidQ-RTxAIY|204||0
American Graffiti|1973|110|Comedy, Drama|7,4|A couple of high school graduates spend one final night cruising the strip with their buddies before they go off to college.|George Lucas|Richard Dreyfuss, Ron Howard, Paul Le Mat, Charles Martin Smith|https://www.youtube.com/watch?v=OZ9Gp6Qc8LQ|169||0
The Last of Sheila|1973|120|Crime, Drama, Mystery|7,3|A year after Sheila is killed in a hit-and-run, her multimillionaire husband invites a group of friends to spend a week on his yacht playing a scavenger hunt-style mystery game. The game turns out to be all too real and all too deadly.|Herbert Ross|Richard Benjamin, James Coburn, James Mason, Dyan Cannon|https://www.youtube.com/watch?v=NPHMoDpCHU8|174||0
Deliverance|1972|109|Adventure, Drama, Thriller|7,7|Intent on seeing the Cahulawassee River before it's turned into one huge lake, outdoor fanatic Lewis Medlock takes his friends on a river-rafting trip they'll never forget into the dangerous American back-country.|John Boorman |Jon Voight, Burt Reynolds, Ned Beatty, Ronny Cox|https://www.youtube.com/watch?v=sckWeXMLsac|172||0
The Warriors|1979|92|Action, Crime, Thriller|7,6|Prominent gang leader Cyrus calls a meeting of New York's gangs to set aside their turf wars and take over the city. At the meeting, a rival leader kills Cyrus, but a Coney Island gang called the Warriors is wrongly blamed for Cyrus' death. Before you know it, the cops and every gangbanger in town is hot on the Warriors' trail.| Walter Hill|Michael Beck, James Remar, Dorsey Wright, Brian Tyler|https://www.youtube.com/watch?v=--gdB-nnQkU|107||0
Get Carter|1971|112|Action, Crime, Thriller|7,4|Jack Carter is a small-time hood working in London. When word reaches him of his brothers death, he travels to Newcastle to attend the funeral. Refusing to accept the police report of suicide, Carter seeks out his brother's friends and acquaintances to learn who murdered his sibling and why.|Mike Hodges|Michael Caine, Ian Hendry, Britt Ekland, John Osborne|https://www.youtube.com/watch?v=kV4XrUDBlfM|124||0
Stalker|1979|162|Drama, Sci-Fi|8,2||Andrei Tarkovsky|Alisa Freyndlikh, Aleksandr Kaydanovskiy, Anatoliy Solonitsyn, Nikolay Grinko|https://www.youtube.com/watch?v=GM_GOpfEQUw|125||0
Dad's Army|1971|95|Comedy, War|7||Norman Cohen|Arthur Lowe, John Le Mesurier, Clive Dunn, John Laurie|https://www.youtube.com/watch?v=_e4NltR9Eck|56||0
